行業別,上月底現有家數,上月底現有資本額,新設立家數,新設立資本額,歇業家數,歇業資本額,增資家數,增資資本額,減資家數,減資資本額,遷入家數,遷入資本額,遷出家數,遷出資本額,行業變動家數,行業變動資本額,異動調整家數,異動調整資本額,本月底現有家數,本月底現有資本額,year,month
總計,1000171,208226180,5191,777472,4045,688360,359,398281,22,54190,225,75671,227,72861,0,0,4,2368,1001319,208664561,2026,4
農、林、漁、牧業,12252,3940829,63,10808,39,9574,3,7135,0,0,1,200,1,200,-2,-110,0,0,12274,3949087,2026,4
礦業及土石採取業,2007,1162688,9,1748,2,400,2,2100,0,0,1,200,1,200,0,0,-1,-420,2013,1165716,2026,4
製造業,55129,15578983,161,31324,136,50922,19,26239,0,0,7,5800,7,5800,2,875,-1,850,55155,15587349,2026,4
電力及燃氣供應業,1058,555699,8,2050,4,800,0,0,0,0,1,200,1,200,0,0,0,0,1062,556949,2026,4
用水供應及污染整治業,4063,2015642,10,4482,15,5266,4,1262,0,0,2,320,2,320,0,-197,1,200,4059,2016123,2026,4
營建工程業,105030,46152209,738,148424,328,104671,79,127534,4,9750,36,14965,36,12165,8,644,-1,-53,105447,46317136,2026,4
批發及零售業,515266,86867869,2030,292167,2035,311777,163,182251,7,30441,114,43747,117,44177,-2,-2796,5,1611,515261,86998453,2026,4
運輸及倉儲業,25848,6029585,26,4208,15,1076,1,5000,0,0,1,200,1,200,1,2355,-3,-90,25857,6039982,2026,4
住宿及餐飲業,111416,15150391,1056,136567,821,105712,35,17043,7,3802,17,3376,17,3136,-6,-25,1,-40,111646,15194663,2026,4
出版影音及資通訊業,7168,1869328,69,9571,49,6744,4,650,0,0,7,850,7,890,4,505,0,0,7192,1873270,2026,4
金融及保險業,3308,4747150,19,2830,12,1128,0,0,0,0,0,0,0,0,1,150,2,-110,3318,4748892,2026,4
不動產業,4496,1126223,22,3353,16,4888,2,2500,0,0,1,30,1,30,-1,-200,0,0,4501,1126988,2026,4
專業、科學及技術服務業,21502,4686475,159,22250,101,26569,9,5958,1,4000,15,2700,15,2700,-7,-989,1,270,21554,4683396,2026,4
支援服務業,30727,7563664,214,28375,123,22534,17,10000,0,0,7,1140,6,900,4,827,-1,-57,30822,7580515,2026,4
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-10,1,10,0,0,2026,4
教育業,2917,416033,48,7024,24,3068,1,800,0,0,1,50,1,50,2,400,0,0,2943,421189,2026,4
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,4
藝術、娛樂及休閒服務業,22979,3018573,132,19910,88,9370,5,1138,1,5757,1,225,1,225,-2,-590,1,200,23022,3024104,2026,4
