station_id,station_name,catchment_method,poi_name,retail_category,amenity,shop,tourism,office,leisure
gongguan,Gongguan,circular_center_500m,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,星巴克,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,麥當勞,food,fast_food,,,,
gongguan,Gongguan,circular_center_500m,韓國時間（即將開幕）,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,誠品書店,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,康是美,health,,chemist,,,
gongguan,Gongguan,circular_center_500m,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,星巴克,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,BASKETBALL,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,家樂福,convenience,,supermarket,,,
gongguan,Gongguan,circular_center_500m,O'Girls,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,大一女美食餐廳,food,food_court,,,,
gongguan,Gongguan,circular_center_500m,,food,food_court,,,,
gongguan,Gongguan,circular_center_500m,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,Subway,food,fast_food,,,,
gongguan,Gongguan,circular_center_500m,銅樂咖啡,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,Cafe Bastille台大店,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,泰昌堂中醫診所,health,clinic,,,,
gongguan,Gongguan,circular_center_500m,小蔬杭 絕對蔬食,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,臺北公館郵局,services,post_office,,,,
gongguan,Gongguan,circular_center_500m,物理文物廳,services,,,museum,,
gongguan,Gongguan,circular_center_500m,台大校史館,services,,,museum,,
gongguan,Gongguan,circular_center_500m,Samsung Customers Service Center,other,,mobile_phone,,,
gongguan,Gongguan,circular_center_500m,動物博物館,services,,,museum,,
gongguan,Gongguan,circular_center_500m,人類學博物館,services,,,museum,,
gongguan,Gongguan,circular_center_500m,靈感咖啡,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,摩瑪克九店,other,,sports,,,
gongguan,Gongguan,circular_center_500m,麥當勞,food,fast_food,,,,
gongguan,Gongguan,circular_center_500m,中華郵政,services,atm,,,,
gongguan,Gongguan,circular_center_500m,中華郵政,services,atm,,,,
gongguan,Gongguan,circular_center_500m,吉天元拉麵,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,人性空間台大店,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,台大牛莊,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,大心奇雞好吃土雞肉,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,腹響圓,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,NET,apparel/fashion,,clothes,,,
gongguan,Gongguan,circular_center_500m,屈臣氏,health,,chemist,,,
gongguan,Gongguan,circular_center_500m,博士眼鏡,health,,optician,,,
gongguan,Gongguan,circular_center_500m,校園書房,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,中華電信,services,,,,telecommunication,
gongguan,Gongguan,circular_center_500m,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,circular_center_500m,,other,,vacant,,,
gongguan,Gongguan,circular_center_500m,東南亞冰店,other,,confectionery,,,
gongguan,Gongguan,circular_center_500m,自然褂,cafe,cafe,,,,
