station_id,station_name,poi_name,retail_category,amenity,shop,tourism,office,leisure
gongguan,Gongguan,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,星巴克,cafe,cafe,,,,
gongguan,Gongguan,麥當勞,food,fast_food,,,,
gongguan,Gongguan,韓國時間（即將開幕）,food,restaurant,,,,
gongguan,Gongguan,誠品書店,lifestyle/design,,books,,,
gongguan,Gongguan,康是美,health,,chemist,,,
gongguan,Gongguan,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,星巴克,cafe,cafe,,,,
gongguan,Gongguan,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,BASKETBALL,apparel/fashion,,clothes,,,
gongguan,Gongguan,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,家樂福,convenience,,supermarket,,,
gongguan,Gongguan,O'Girls,apparel/fashion,,clothes,,,
gongguan,Gongguan,大一女美食餐廳,food,food_court,,,,
gongguan,Gongguan,,food,food_court,,,,
gongguan,Gongguan,7-Eleven,convenience,,convenience,,,
gongguan,Gongguan,Subway,food,fast_food,,,,
gongguan,Gongguan,銅樂咖啡,cafe,cafe,,,,
gongguan,Gongguan,Cafe Bastille台大店,cafe,cafe,,,,
gongguan,Gongguan,泰昌堂中醫診所,health,clinic,,,,
gongguan,Gongguan,小蔬杭 絕對蔬食,food,restaurant,,,,
gongguan,Gongguan,臺北公館郵局,services,post_office,,,,
gongguan,Gongguan,物理文物廳,services,,,museum,,
gongguan,Gongguan,台大校史館,services,,,museum,,
gongguan,Gongguan,Samsung Customers Service Center,other,,mobile_phone,,,
gongguan,Gongguan,動物博物館,services,,,museum,,
gongguan,Gongguan,人類學博物館,services,,,museum,,
gongguan,Gongguan,靈感咖啡,cafe,cafe,,,,
gongguan,Gongguan,摩瑪克九店,other,,sports,,,
gongguan,Gongguan,麥當勞,food,fast_food,,,,
gongguan,Gongguan,中華郵政,services,atm,,,,
gongguan,Gongguan,中華郵政,services,atm,,,,
gongguan,Gongguan,吉天元拉麵,food,restaurant,,,,
gongguan,Gongguan,人性空間台大店,cafe,cafe,,,,
gongguan,Gongguan,台大牛莊,food,restaurant,,,,
gongguan,Gongguan,大心奇雞好吃土雞肉,food,restaurant,,,,
gongguan,Gongguan,腹響圓,food,restaurant,,,,
gongguan,Gongguan,NET,apparel/fashion,,clothes,,,
gongguan,Gongguan,屈臣氏,health,,chemist,,,
gongguan,Gongguan,博士眼鏡,health,,optician,,,
gongguan,Gongguan,校園書房,lifestyle/design,,books,,,
gongguan,Gongguan,中華電信,services,,,,telecommunication,
gongguan,Gongguan,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,東南亞冰店,other,,confectionery,,,
gongguan,Gongguan,自然褂,cafe,cafe,,,,
gongguan,Gongguan,春風堂川渝麻辣,food,restaurant,,,,
gongguan,Gongguan,小飯廳,food,restaurant,,,,
gongguan,Gongguan,玉山證券,services,bank,,,,
gongguan,Gongguan,Jj's Poke & Cafe,food,restaurant,,,,
gongguan,Gongguan,配件王,other,,mobile_phone,,,
gongguan,Gongguan,劉福記手工傘,other,,umbrella,,,
gongguan,Gongguan,Chillken,food,restaurant,,,,
gongguan,Gongguan,光南大批發,lifestyle/design,,stationery,,,
gongguan,Gongguan,臺灣銀行,services,bank,,,,
gongguan,Gongguan,泰味鮮泰式主題餐廳,food,restaurant,,,,
gongguan,Gongguan,進化論眼鏡,health,,optician,,,
gongguan,Gongguan,Puma,apparel/fashion,,clothes,,,
gongguan,Gongguan,幫痘氏,health,clinic,,,,
gongguan,Gongguan,摩斯漢堡,food,fast_food,,,,
gongguan,Gongguan,巨匠電腦,other,,computer,,,
gongguan,Gongguan,蝦皮店到店,convenience,,convenience,,courier,
gongguan,Gongguan,Date Express,other,,computer,,,
gongguan,Gongguan,愛樂廚房銅盤烤肉 韓式美食,food,restaurant,,,,
gongguan,Gongguan,大陸眼鏡,health,,optician,,,
gongguan,Gongguan,東北大牙醫,health,dentist,,,,
gongguan,Gongguan,雜誌瘋,lifestyle/design,,books,,,
gongguan,Gongguan,Coffee Loopy,cafe,cafe,,,,
gongguan,Gongguan,緣起手染服飾,apparel/fashion,,clothes,,,
gongguan,Gongguan,全家便利商店,convenience,,convenience,,,
gongguan,Gongguan,黃記延三溫體牛,food,restaurant,,,,
gongguan,Gongguan,這一天異國廚房,food,restaurant,,,,
gongguan,Gongguan,好吃好吃吃真正牛排,food,restaurant,,,,
gongguan,Gongguan,iColor,other,,variety_store,,,
gongguan,Gongguan,新馬辣經典麻辣鍋,food,restaurant,,,,
gongguan,Gongguan,三媽臭臭鍋,food,restaurant,,,,
gongguan,Gongguan,小飯館兒,food,restaurant,,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,博齡牙醫診所,health,dentist,,,,
gongguan,Gongguan,三米三現煲石鍋飯,food,restaurant,,,,
gongguan,Gongguan,蠶居,food,restaurant,,,,
gongguan,Gongguan,水源會館,food,restaurant,,,,
gongguan,Gongguan,維倫麵店,food,restaurant,,,,
gongguan,Gongguan,順園小館,food,restaurant,,,,
gongguan,Gongguan,壹森泰食堂,food,restaurant,,,,
gongguan,Gongguan,聖德科斯,other,,greengrocer,,,
gongguan,Gongguan,拉芙漢堡,food,restaurant,,,,
gongguan,Gongguan,翠薪越南餐廳,food,restaurant,,,,
gongguan,Gongguan,小高拉麵,food,restaurant,,,,
gongguan,Gongguan,大學麵線 甜不辣 肉圓,food,restaurant,,,,
gongguan,Gongguan,窖父,food,bar,,,,
gongguan,Gongguan,Dr. Poker,other,,games,,,
gongguan,Gongguan,海山雞肉飯,food,restaurant,,,,
gongguan,Gongguan,金石堂書店,lifestyle/design,,books,,,
gongguan,Gongguan,主婦聯盟環境保護基金會,services,,,,ngo,
gongguan,Gongguan,金吉利寵物精品,other,,pet,,,
gongguan,Gongguan,康是美,health,,chemist,,,
gongguan,Gongguan,中國信託商業銀行,services,bank,,,,
gongguan,Gongguan,夢幻運動廣場公館店,apparel/fashion,,clothes,,,
gongguan,Gongguan,美國傳奇牙醫,health,dentist,,,,
gongguan,Gongguan,Fjall Raven,apparel/fashion,,clothes,,,
gongguan,Gongguan,鳳城燒臘,food,restaurant,,,,
gongguan,Gongguan,唐緹,other,,confectionery,,,
gongguan,Gongguan,OWNDAYS,health,,optician,,,
gongguan,Gongguan,美珍香,other,,butcher,,,
gongguan,Gongguan,八方雲集,food,fast_food,,,,
gongguan,Gongguan,雅博客二手書店,lifestyle/design,,books,,,
gongguan,Gongguan,Adidas,other,,sports,,,
gongguan,Gongguan,韓庭州韓國料理,food,restaurant,,,,
gongguan,Gongguan,CoCo壱番屋,food,restaurant,,,,
gongguan,Gongguan,coco Brownies,other,,confectionery,,,
gongguan,Gongguan,辛殿,food,restaurant,,,,
gongguan,Gongguan,bb.q Chicken,food,restaurant,,,,
gongguan,Gongguan,台灣複印,services,,copyshop,,,
gongguan,Gongguan,東雛菊風味鍋物,food,restaurant,,,,
gongguan,Gongguan,豪季水餃專賣店,food,restaurant,,,,
gongguan,Gongguan,貳樓餐廳,food,restaurant,,,,
gongguan,Gongguan,Thai Yo,food,restaurant,,,,
gongguan,Gongguan,酒釀湯圓,cafe,cafe,,,,
gongguan,Gongguan,茉莉二手書店,lifestyle/design,,books,,,
gongguan,Gongguan,玩逗樹,cafe,cafe,,,,
gongguan,Gongguan,魯米爺咖啡館,cafe,cafe,,,,
gongguan,Gongguan,Maryjane Pizza,food,restaurant,,,,
gongguan,Gongguan,Luca Vergani,apparel/fashion,,clothes,,,
gongguan,Gongguan,Helis,health,,optician,,,
gongguan,Gongguan,冠軍物聯網選物販賣,other,,video_games,,,
gongguan,Gongguan,王一莊商行,other,,variety_store,,,
gongguan,Gongguan,法點法食,cafe,cafe,,,,
gongguan,Gongguan,吻銀精品,apparel/fashion,,jewelry,,,
gongguan,Gongguan,韓風拍貼,other,,photo,,,
gongguan,Gongguan,天仁茗茶,cafe,cafe,,,,
gongguan,Gongguan,老二攝影,other,,photograph,,,
gongguan,Gongguan,365日X生活選物雜貨店,other,,variety_store,,,
gongguan,Gongguan,烤必勝烤肉屋,food,restaurant,,,,
gongguan,Gongguan,大學入學考試中心,services,,,,ngo,
gongguan,Gongguan,弘野登山戶外休閒用品,other,,sports,,,
gongguan,Gongguan,戰醬燒肉,food,restaurant,,,,
gongguan,Gongguan,北投紅茶,cafe,cafe,,,,
gongguan,Gongguan,麻古茶枋,cafe,cafe,,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,母女的店,food,restaurant,,,,
gongguan,Gongguan,路燈咖啡公館店,cafe,cafe,,,,
gongguan,Gongguan,貓沙工廠,other,,pet,,,
gongguan,Gongguan,泰正點泰式餐坊,food,restaurant,,,,
gongguan,Gongguan,酷必五星級牛排飯,food,restaurant,,,,
gongguan,Gongguan,寶島眼鏡,health,,optician,,,
gongguan,Gongguan,摩瑪克3店,other,,sports,,,
gongguan,Gongguan,Just Curry,food,restaurant,,,,
gongguan,Gongguan,寶雅,health,,chemist,,,
gongguan,Gongguan,炎帝鐵板燒,food,restaurant,,,,
gongguan,Gongguan,香鄉麵食館,food,restaurant,,,,
gongguan,Gongguan,古洛奇名床,other,,bed,,,
gongguan,Gongguan,塊雞師事務所,food,restaurant,,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,MACANNA,apparel/fashion,,shoes,,,
gongguan,Gongguan,哈拉星球歡樂聯盟,other,,video_games,,,
gongguan,Gongguan,飛捷數位印刷,services,,copyshop,,,
gongguan,Gongguan,奇美眼睛,health,,optician,,,
gongguan,Gongguan,茂林動物福利蛋,other,,greengrocer,,,
gongguan,Gongguan,登出禮儀會館,other,,funeral_directors,,,
gongguan,Gongguan,想聚,food,restaurant,,,,
gongguan,Gongguan,哈啦星球,other,,video_games,,,
gongguan,Gongguan,89 Loop,food,bar,,,,
gongguan,Gongguan,啦啦麵,food,restaurant,,,,
gongguan,Gongguan,Vortex,apparel/fashion,,clothes,,,
gongguan,Gongguan,米澤製麵,food,restaurant,,,,
gongguan,Gongguan,金隆興銀樓,apparel/fashion,,jewelry,,,
gongguan,Gongguan,520 SPA美容越式洗頭,other,,beauty,,,
gongguan,Gongguan,頂呱呱,food,fast_food,,,,
gongguan,Gongguan,,other,,vacant,,,
gongguan,Gongguan,,other,,lottery,,,
gongguan,Gongguan,尚智運動世界,other,,sports,,,
gongguan,Gongguan,快乐柠檬,cafe,cafe,,,,
gongguan,Gongguan,Adidas,other,,sports,,,
